qs_rank_2025,university_name,country_name,qs_overall_score
1.0,massachusetts institute of technology (mit),United States,100.0
2.0,imperial college london,United Kingdom,98.5
3.0,university of oxford,United Kingdom,96.9
4.0,harvard university,United States,96.8
5.0,university of cambridge,United Kingdom,96.7
6.0,stanford university,United States,96.1
7.0,eth zurich - swiss federal institute of technology,Switzerland,93.9
8.0,national university of singapore (nus),Singapore,93.7
9.0,ucl,United Kingdom,91.6
10.0,california institute of technology (caltech),United States,90.9
11.0,university of pennsylvania,United States,90.3
12.0,"university of california, berkeley (ucb)",United States,90.1
13.0,the university of melbourne,Australia,88.9
14.0,peking university,China (Mainland),88.5
15.0,"nanyang technological university, singapore (ntu)",Singapore,88.4
16.0,cornell university,United States,87.9
17.0,the university of hong kong,Hong Kong SAR,87.6
18.0,the university of sydney,Australia,87.3
19.0,the university of new south wales (unsw sydney),Australia,87.1
20.0,tsinghua university,China (Mainland),86.5
