wb_country_code,wb_country_name,wb_region,wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
IRN,Iran,Middle East & North Africa,Upper middle income,71.8811416625977,32.0686416625977,45.8151702880859,15.25767993927,,738260.0
IRQ,Iraq,Middle East & North Africa,Upper middle income,,,,,,
ISL,Iceland,Europe & Central Asia,High income: OECD,,,,,,
ISR,Israel,Middle East & North Africa,High income: OECD,64.7467803955078,,56.7566184997559,,,
ITA,Italy,Europe & Central Asia,High income: OECD,62.49607086181639,,56.331508636474595,20.300500869751,,
JAM,Jamaica,Latin America & Caribbean,Upper middle income,27.2202701568604,,62.5823402404785,,,
JOR,Jordan,Middle East & North Africa,Upper middle income,44.8695182800292,,51.5971183776855,22.453159332275398,,69704.0
JPN,Japan,East Asia & Pacific,High income: OECD,,,,,,
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,46.039909362793,67.1917724609375,55.4981384277344,12.975190162658699,,241472.0
KEN,Kenya,Sub-Saharan Africa,Low income,,,,,,
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,46.90145111083981,33.9849090576172,55.703098297119105,12.8191499710083,,52570.0
KHM,Cambodia,East Asia & Pacific,Low income,13.0882596969604,,43.7082481384277,17.7497997283936,,48772.0
KOR,Korea,East Asia & Pacific,High income: OECD,93.1791381835938,,40.7566299438477,,,
KWT,Kuwait,Middle East & North Africa,High income: nonOECD,,,,,99.25909,
LBN,Lebanon,Middle East & North Africa,Upper middle income,38.4847717285156,,,,,
LBY,Libya,Middle East & North Africa,Upper middle income,,,,,,
LKA,Sri Lanka,South Asia,Lower middle income,19.7966194152832,11.0762100219727,61.0555191040039,,,46337.0
LTU,Lithuania,Europe & Central Asia,High income: nonOECD,,57.47573852539059,57.5741806030273,10.7555599212646,,32205.0
LUX,Luxembourg,Europe & Central Asia,High income: OECD,,,,,,
LVA,Latvia,Europe & Central Asia,High income: nonOECD,,34.5982093811035,59.56613922119139,12.5612096786499,,17021.0
MAC,"Macao SAR, China",East Asia & Pacific,High income: nonOECD,75.5988464355469,53.4912300109863,56.29975891113279,15.2709703445435,,6674.0
MAR,Morocco,Middle East & North Africa,Lower middle income,28.1435794830322,,48.0312385559082,,,159028.0
MDA,Moldova,Europe & Central Asia,Lower middle income,41.2134819030762,,56.2895889282227,16.5099601745605,,31459.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,,,,,98.94471,
MKD,Macedonia,Europe & Central Asia,Upper middle income,42.0633506774902,,54.3065299987792,,,
MLT,Malta,Middle East & North Africa,High income: nonOECD,47.4218711853027,35.4408111572266,55.9019393920898,7.95593023300171,,3953.0
MNE,Montenegro,Europe & Central Asia,Upper middle income,,,,,,
MNG,Mongolia,East Asia & Pacific,Lower middle income,68.5670166015625,,57.4323310852051,20.2595405578613,,35181.0
MOZ,Mozambique,Sub-Saharan Africa,Low income,6.3905200958252,,42.4251403808594,,,14512.0
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,36.6675682067871,,56.3465385437012,,,6666.0
MWI,Malawi,Sub-Saharan Africa,Low income,,,,,72.93561,
MYS,Malaysia,East Asia & Pacific,Upper middle income,26.074089050293,15.1786804199219,58.2287902832031,10.1904096603394,,192260.0
NAM,Namibia,Sub-Saharan Africa,Upper middle income,,,,,,
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,,,,,,
NLD,Netherlands,Europe & Central Asia,High income: OECD,,48.2467498779297,52.307559967041,13.4636602401733,,
NOR,Norway,Europe & Central Asia,High income: OECD,76.6963806152344,47.5122604370117,57.8713912963867,9.92749977111816,,48212.0
NPL,Nepal,South Asia,Low income,14.9399499893188,,51.6897811889648,,,
NZL,New Zealand,East Asia & Pacific,High income: OECD,83.9313201904297,55.9750099182129,56.52967834472659,,,72746.0
OMN,Oman,Middle East & North Africa,High income: nonOECD,,,58.1746711730957,16.1571807861328,99.15373,18605.0
PAK,Pakistan,South Asia,Lower middle income,9.92739009857178,,45.1739807128906,17.5596199035645,,
PAN,Panama,Latin America & Caribbean,Upper middle income,,,,,,
PER,Peru,Latin America & Caribbean,Upper middle income,,,,,99.00954,
PHL,Philippines,East Asia & Pacific,Lower middle income,,,,,,
POL,Poland,Europe & Central Asia,High income: OECD,,47.6031112670898,,,,516675.0
PRI,Puerto Rico,Latin America & Caribbean,High income: nonOECD,,,,,,
PRT,Portugal,Europe & Central Asia,High income: OECD,61.874191284179695,51.4120712280273,53.2700119018555,10.4342699050903,,74757.0
PRY,Paraguay,Latin America & Caribbean,Lower middle income,,,,,98.32855,
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,44.2832183837891,30.5414791107178,60.2412490844727,26.140510559082,99.34061,39720.0
QAT,Qatar,Middle East & North Africa,High income: nonOECD,14.5180797576904,3.57979011535645,65.976463317871,12.9428701400757,,3234.0
ROU,Romania,Europe & Central Asia,Upper middle income,53.2202186584473,45.1505699157715,53.663688659668,19.5035591125488,,133478.0
RUS,Russia,Europe & Central Asia,High income: nonOECD,80.3940811157227,,53.433479309082,,,
RWA,Rwanda,Sub-Saharan Africa,Low income,7.8970799446106,,44.9007301330566,23.8808002471924,,17519.0
SAU,Saudi Arabia,Middle East & North Africa,High income: nonOECD,63.066219329834,28.530710220336903,49.0502815246582,19.8450202941895,,185122.0
SDN,Sudan,Sub-Saharan Africa,Lower middle income,,,,,,
SEN,Senegal,Sub-Saharan Africa,Lower middle income,10.3866596221924,,37.6380081176758,25.7836894989014,,
SGP,Singapore,East Asia & Pacific,High income: nonOECD,,,,,99.7849,
SOM,Somalia,Sub-Saharan Africa,Low income,,,,,,
SRB,Serbia,Europe & Central Asia,Upper middle income,58.2876892089844,,55.780029296875,22.5157909393311,,50501.0
SVK,Slovak Republic,Europe & Central Asia,High income: OECD,,40.2954902648926,,,,61054.0
SVN,Slovenia,Europe & Central Asia,High income: OECD,,60.7241401672363,,,,18631.0
SWE,Sweden,Europe & Central Asia,High income: OECD,62.3007698059082,,59.1986618041992,12.5553598403931,,
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income,44.0486183166504,,50.9117202758789,64.4064178466797,,59116.0
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income: nonOECD,,,,,,107.0
THA,Thailand,East Asia & Pacific,Upper middle income,48.8574409484863,26.9894104003906,58.3397102355957,21.5390300750732,98.14663,371412.0
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,,,,,,
TUN,Tunisia,Middle East & North Africa,Upper middle income,34.6065788269042,24.4065208435059,61.6124000549316,,,64612.0
TUR,Turkey,Europe & Central Asia,Upper middle income,94.7322998046875,,45.9554710388184,,99.49439,
TZA,Tanzania,Sub-Saharan Africa,Low income,,,,,85.75514,
UGA,Uganda,Sub-Saharan Africa,Low income,,,,,,
UKR,Ukraine,Europe & Central Asia,Lower middle income,,,52.3703498840332,10.5358104705811,,499993.0
URY,Uruguay,Latin America & Caribbean,High income: nonOECD,55.5662689208984,,,7.0883898735046404,98.9276,12036.0
USA,United States,North America,High income: OECD,85.7957763671875,,56.2370185852051,,,
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,8.78775024414063,,37.5186805725098,10.7137098312378,100.0,68192.0
VEN,Venezuela,Latin America & Caribbean,Upper middle income,,,,,99.00763,
VNM,Vietnam,East Asia & Pacific,Lower middle income,28.8356494903564,19.5287895202637,48.9088592529297,27.051570892334,,585554.0
XKX,Kosovo,Europe & Central Asia,Lower middle income,,,,,,
YEM,Yemen,Middle East & North Africa,Lower middle income,,,,,,
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,,,,,98.95578,
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,,,,,,
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,8.43327045440674,,47.8945198059082,17.9308300018311,,33255.0
,,,,,,,,,
