university_id,university_name,country_name,qs_rank_2025,the_rank_2024,the_rank_2023
U1011,"arab academy for science, technology and maritime transport",Egypt,,,1201.0
U1012,assiut university,Egypt,,,1001.0
U1014,azerbaijan state university of economics,Azerbaijan,,,
U1015,banaras hindu university,India,,,601.0
U1016,baylor university,United States,,,601.0
U1019,birmingham city university,United Kingdom,,,501.0
U1022,canterbury christ church university,United Kingdom,,,1201.0
U1024,chung yuan christian university,Taiwan,,,1201.0
U1025,chungbuk national university,South Korea,,,1201.0
U1030,ege university,Turkey,,,1201.0
U1034,george mason university,United States,,,301.0
U1035,gifu university,Japan,,,1201.0
U1036,glasgow caledonian university,United Kingdom,,,601.0
U1037,gunma university,Japan,,,1201.0
U1039,harbin engineering university,China (Mainland),,,1201.0
U1041,howard university,United States,,,351.0
U1042,hungarian university of agriculture and life sciences,Hungary,,,1201.0
U1044,international christian university,Japan,,,
U1046,islamic university of madinah,Saudi Arabia,,,
U1048,jiangnan university,China (Mainland),,,1001.0
U1049,kagoshima university,Japan,,,1501.0
U1050,kangwon national university,South Korea,,,1201.0
U1054,leeds beckett university,United Kingdom,,,801.0
U1056,lodz university of technology,Poland,,,1501.0
U1057,london metropolitan university,United Kingdom,,,
U1059,lviv polytechnic national university,Ukraine,,,601.0
U1060,marmara university,Turkey,,,1201.0
U1061,mississippi state university,United States,,,801.0
U1063,mustansiriyah university,Iraq,,,1501.0
U1064,mutah university,Jordan,,,
U1066,nanjing normal university,China (Mainland),,,801.0
U1068,national chung cheng university,Taiwan,,,1201.0
U1076,panjab university,India,,,801.0
U1079,poznan university of technology,Poland,,,1201.0
U1085,san diego state university,United States,,,601.0
U1086,sheffield hallam university,United Kingdom,,,801.0
U1087,shinshu university,Japan,,,1201.0
U1089,silesian university of technology,Poland,,,1201.0
U1090,slovak university of agriculture in nitra,Slovakia,,,1201.0
U1091,slovak university of technology in bratislava,Slovakia,,,1501.0
U1093,soonchunhyang university,South Korea,,,1201.0
U1096,srm institute of science and technology,India,,,1201.0
U1097,sumy state university,Ukraine,,,401.0
U1099,széchenyi istván university,Hungary,,,
U1100,taibah university,Saudi Arabia,,,801.0
U1101,tallinn university,Estonia,,,1001.0
U1104,telkom university,Indonesia,,,1501.0
U1105,the hashemite university,Jordan,,,1201.0
U1108,tokushima university,Japan,,,1201.0
U1109,tokyo metropolitan university,Japan,,,1001.0
U1147,universitas sebelas maret,Indonesia,,,1201.0
U1159,universiti malaysia sabah (ums),Malaysia,,,1501.0
U1160,universiti malaysia sarawak (unimas),Malaysia,,,1201.0
U1161,universiti malaysia terengganu (umt),Malaysia,,,1201.0
U1164,university of derby,United Kingdom,,,601.0
U1165,university of deusto,Spain,,,801.0
U1167,university of ibadan,Nigeria,,,401.0
U1169,university of ioannina,Greece,,,801.0
U1170,university of karachi,Pakistan,,,1501.0
U1172,university of lagos,Nigeria,,,401.0
U1179,university of north carolina at charlotte,United States,,,601.0
U1181,university of novi sad,Serbia,,,1501.0
U1182,university of rhode island,United States,,,801.0
U1184,university of seoul,South Korea,,,1201.0
U1185,university of tabuk,Saudi Arabia,,,501.0
U1188,university of the free state,South Africa,,,801.0
U1189,university of the sunshine coast,Australia,,,601.0
U1190,university of toledo,United States,,,
U1193,university of warmia and mazury in olsztyn,Poland,,,1501.0
U1194,university of wolverhampton,United Kingdom,,,
U1195,university of wyoming,United States,,,801.0
U1198,vsb - technical university of ostrava,Czech Republic,,,1501.0
U1200,west virginia university,United States,,,
U1202,yokohama national university,Japan,,,1201.0
U1203,al-balqa applied university,Jordan,,,801.0
U1204,alexandru ioan cuza university,Romania,,,1501.0
U1205,anadolu university,Turkey,,,1201.0
U1206,aoyama gakuin university,Japan,,,1501.0
U1209,bahauddin zakariya university,Pakistan,,,1001.0
U1213,benemérita universidad autónoma de puebla,Mexico,,,1501.0
U1218,chaoyang university of technology,Taiwan,,,1501.0
U1220,chitkara university,India,,,
U1223,cukurova university,Turkey,,,1501.0
U1228,doshisha university,Japan,,,1501.0
U1230,escuela politécnica nacional,Ecuador,,,1501.0
U1231,feng chia university,Taiwan,,,1501.0
U1233,fu jen catholic university,Taiwan,,,1001.0
U1235,german university in cairo,Egypt,,,1201.0
U1236,hanoi university of science and technology,Vietnam,,,1501.0
U1237,harper adams university,United Kingdom,,,
U1238,helwan university,Egypt,,,1201.0
U1240,hue university,Vietnam,,,1501.0
U1244,ivan franko national university of lviv,Ukraine,,,1201.0
U1248,jeju national university,South Korea,,,1201.0
U1252,kharkiv national university of radio electronics,Ukraine,,,1001.0
U1253,khulna university,Bangladesh,,,
U1257,king mongkut's university of technology north bangkok,Thailand,,,1201.0
U1258,kookmin university,South Korea,,,1501.0
U1259,kwame nkrumah university of science and technology,Ghana,,,1001.0
U1260,kyoto institute of technology,Japan,,,1501.0
U1262,marquette university,United States,,,801.0
U1263,meiji university,Japan,,,1501.0
U1268,national dong hwa university,Taiwan,,,1201.0
U1270,national taipei university,Taiwan,,,1501.0
U1271,national taiwan ocean university,Taiwan,,,1001.0
U1273,óbuda university,Hungary,,,1001.0
U1275,osmania university,India,,,1201.0
U1277,pondicherry university,India,,,1001.0
U1280,portland state university,United States,,,1001.0
U1283,rikkyo university,Japan,,,1001.0
U1284,saitama university,Japan,,,1501.0
U1295,suez canal university,Egypt,,,801.0
U1298,suranaree university of technology,Thailand,,,1201.0
U1299,tamkang university,Taiwan,,,1201.0
U1300,tanta university,Egypt,,,801.0
U1301,technical university of cluj-napoca,Romania,,,1501.0
U1302,technical university of liberec,Czech Republic,,,1501.0
U1309,tokai university,Japan,,,1201.0
U1313,tunghai university,Taiwan,,,1201.0
U1341,universidad nacional del litoral,Argentina,,,1501.0
U1345,universidade do estado do rio de janeiro (uerj),Brazil,,,1201.0
U1346,universidade federal da bahia,Brazil,,,1201.0
U1351,universidade federal do ceará (ufc),Brazil,,,1501.0
U1357,universitas pendidikan indonesia,Indonesia,,,1201.0
U1358,universitas sumatera utara,Indonesia,,,1501.0
U1363,universiti malaysia perlis,Malaysia,,,1001.0
U1364,universiti teknikal malaysia melaka,Malaysia,,,1201.0
U1365,university of babylon,Iraq,,,601.0
U1366,university of basrah,Iraq,,,1501.0
U1369,university of kragujevac,Serbia,,,501.0
U1370,university of kufa,Iraq,,,1501.0
U1371,university of memphis,United States,,,801.0
U1372,university of miskolc,Hungary,,,1501.0
U1376,university of ostrava,Czech Republic,,,1201.0
U1377,university of pannonia,Hungary,,,1201.0
U1378,university of pardubice,Czech Republic,,,1501.0
U1379,university of peradeniya,Sri Lanka,,,501.0
U1380,university of primorska,Slovenia,,,1201.0
U1381,university of rijeka,Croatia,,,1501.0
U1385,university of silesia in katowice,Poland,,,1501.0
U1387,university of split,Croatia,,,1001.0
U1388,university of sri jayewardenepura,Sri Lanka,,,
U1391,university of west bohemia,Czech Republic,,,1201.0
U1396,western michigan university,United States,,,1201.0
U1397,yamaguchi university,Japan,,,1501.0
U1400,yuan ze university,Taiwan,,,1201.0
U1401,zagazig university,Egypt,,,801.0
U1417,kwansei gakuin university,Japan,,,1501.0
U1418,lucian blaga university of sibiu,Romania,,,1501.0
U1422,naresuan university,Thailand,,,1501.0
U1425,nova southeastern university,United States,,,401.0
U1428,pontifícia universidade católica do paraná,Brazil,,,1201.0
U1431,sakarya university,Turkey,,,1001.0
U1433,shibaura institute of technology,Japan,,,1201.0
U1434,silpakorn university,Thailand,,,1501.0
U1436,soongsil university,South Korea,,,1201.0
U1438,state university of malang,Indonesia,,,1201.0
U1442,united international university,Bangladesh,,,
U1446,universidad autónoma de chile,Chile,,,801.0
U1453,universidad católica de colombia,Colombia,,,
U1478,universidad san ignacio de loyola,Peru,,,
U1484,universidade do estado de santa catarina,Brazil,,,1501.0
U1491,universitas andalas,Indonesia,,,1501.0
U1496,university of craiova,Romania,,,1501.0
U1497,university of lampung,Indonesia,,,
U1500,university of oradea,Romania,,,1501.0
